iso_o,iso_d,contig,comlang_off,colony,comcol,dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,NFK,0,0,0,0,13783.122,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NGA,0,0,0,0,8081.917,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NIC,0,1,0,0,1761.9291,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NIU,0,0,0,0,11484.714,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NLD,0,1,1,0,7896.8965,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NOR,0,0,0,0,8301.125,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NPL,0,0,0,0,14828.1,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NRU,0,0,0,0,13604.612,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NZL,0,0,0,0,12981.523,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,OMN,0,0,0,0,13155.516,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAK,0,0,0,0,13581.605,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAL,0,0,0,0,10625.237,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAN,0,1,0,0,1102.9749,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PCN,0,0,0,0,7735.0132,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PER,0,1,0,0,2848.8611,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PHL,0,0,0,0,16773.428,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PLW,0,0,0,0,16527.85,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PNG,0,0,0,0,15957.224,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,POL,0,0,0,0,8990.0234,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRI,0,1,0,0,781.56958,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRK,0,0,0,0,14063.867,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRT,0,0,0,0,6637.4243,Aruba,0,America,12.55,-70.099998,Dutch,NLD
