iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
DOM,Dominican Republic,2018,84994732049.35,7882.98,10782053.0,52.34,25.165855115626144,3.957760897102,Dominican Republic,0,America,18.5,-69.783333,Spanish,FRA,Emerging and Developing Economies,0.0,2018,8.9724617,16.193394,0.061509132,0.072252274,0.0020388038732487,94.9244079347223,3.6263411995888,3.27346539062153,0.917109326371641,0.921826973404573,0.0034841636764671,15336.0530105186,260.077978663034,404.36927870468,0.977287019174827,0.981072362582547,0.0031926051656505,64484.9510054589,1522.46594348189,2624.66839534344,0.967027625038944,0.947715644474368
ECU,Ecuador,2018,107478961000.0,6303.92,17049547.0,48.01,25.400560953732203,3.8714093225428488,Ecuador,0,America,-0.23333333,-78.5,Spanish,ESP,Emerging and Developing Economies,0.0,2018,8.7489271,16.651634,0.011262894,0.028419495,0.0018746378493613,37.3323599230252,2.7661969148126,3.1502275701264,0.933629864191442,0.915129537292095,0.0035428969550785,2549.33657169263,35.9981391843901,396.797114585848,0.966405501461697,0.914409208635301,0.0032166566267658,76297.3217433472,3002.16154988841,2872.41182223712,0.967651082197901,0.965734549222189
EGY,"Egypt, Arab Rep.",2018,262588632526.73,2484.7,105682094.0,45.91,26.2938545097088,3.826682958261131,Egypt,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0,2018,7.8179073,18.475946,0.036726952,0.055698395,0.0021744233617852,461.743617489577,21.0842158208821,5.26016805449833,0.937448152289338,0.921803637545647,0.0059364350027112,7601.56383339886,381.578580622886,1224.83188988485,0.95298194805606,0.86379555706844,0.0059409915173396,46568.1550784245,3768.15605174856,7950.61753978929,0.966766621998864,0.943897962829999
SLV,El Salvador,2018,26020850000.0,4183.55,6219807.0,75.63,23.982163976676304,4.325853029867938,El Salvador,0,America,13.666667,-89.166664,Spanish,ESP,Emerging and Developing Economies,0.0,2018,8.3389158,15.64325,0.03984642,0.040855408,0.0016583685269327,13.2976304434556,1.84579646180312,2.07890442671226,0.895889360770045,0.967319993439396,0.002523574683726,6428.01297568724,140.539586234342,224.486237897761,0.975421325536283,0.966719166137245,0.0027873095053591,46817.6116042359,991.191415806371,1523.2942063483,0.955249854567437,0.955270664951041
GNQ,Equatorial Guinea,2018,13097012133.62,8102.47,1616422.0,103.65,23.295649959735943,4.641019838881789,Equatorial Guinea,0,Africa,3.75,8.8000002,Spanish,ESP,Emerging and Developing Economies,0.0,2018,8.9999247,14.295726,0.036879539,0.07087326,0.0008483741497373,0.203327826693743,1.15021784204937,1.86540567273894,1.0,1.0,0.0017194371291606,174.767431778754,4.34336015289687,38.314601922131,0.991399957219337,0.885301913606769,0.0017264461271018,43181.3788582618,1056.25775390026,249.970167770175,0.99861850858119,0.998709331405019
EST,Estonia,2018,31222632740.72,23618.14,1321977.0,143.49,24.16440907713679,4.966265346360316,Estonia,0,Europe,59.416668,24.75,Estonian,RUS,Advanced Economies,1.0,2018,10.069771,14.094639,0.12458897,0.12806892,0.0021638802036054,160.182402782535,5.85552397609553,4.63895630257548,0.956462660877216,0.969972517429564,0.0029657815395706,12184.4173830653,614.264054578367,538.405143189722,0.949586910794176,0.937924510929669,0.0027122672501063,37038.728655417,1955.35479132733,2451.8261724319,0.972729657795813,0.967995649432176
SWZ,Eswatini,2018,4644696656.37,3973.46,1168929.0,85.48,22.258991901669603,4.448282430450947,Eswatini,1,Africa,-26.333334,31.133333,Swati,GBR,Emerging and Developing Economies,0.0,2018,8.2873926,13.971599,0.030528069,0.03975296,0.0012358581700847,5.87681707568662,1.5622283508688,4.397028068174,0.998650774525896,0.919312169312169,0.0022590770847743,1147.6981986535,15.5999590973906,41.7728290028772,0.967077153815459,0.931651747060276,0.0019948451167663,31279.15526804,439.639321644153,390.273372042975,0.978026147192071,0.962873318073228
ETH,Ethiopia,2018,84269180856.91,747.97,112664152.0,31.2,25.15728204622431,3.4404180948154366,Ethiopia,1,Africa,9.0500002,38.833332,Amharic,,Emerging and Developing Economies,0.0,2018,6.617363,18.539923,0.003133297,0.030094147,0.002502877913404,153.835187396252,4.58386189716227,2.2512700686818,0.928300871443392,0.938913567247613,0.0031840089534644,1599.6806550177,18.199801776296,237.441881392502,0.977878906575871,0.921967556040973,0.0029398992317141,14761.9433786816,457.9615849982,1829.98556101789,0.974564923884623,0.969752022377488
FJI,Fiji,2018,5581425327.44,6085.42,917180.0,103.24,22.442710015746748,4.637056374850413,Fiji,0,Pacific,-18.133333,178.41667,English,GBR,Emerging and Developing Economies,0.0,2018,8.7136507,13.729059,0.043418884,0.041700363,0.0014867787740552,34.2091830671412,2.12280007409646,1.8449222490038,0.940707121136477,0.915805137844611,0.002276529101012,474.096174499224,12.6011103165157,68.6685486864488,0.936629811996572,0.700625403471819,0.0020953324027826,11617.3312322824,192.974433779282,513.385518321953,0.963063922014418,0.883062862745463
FIN,Finland,2018,273869255596.08,49654.25,5515525.0,79.14,26.33591666009558,4.371218435957278,Finland,0,Europe,60.133335,25.0,Swedish,RUS,Advanced Economies,1.0,2018,10.81284,15.523077,0.074596405,0.075922012,0.0027582868514533,190.993092083834,9.57919019384369,10.2257482063044,0.889250016383488,0.847496967183584,0.0046701245321242,11943.5085357063,1171.45474000774,1268.03202548027,0.93260646826151,0.897197295061404,0.0042464427369589,89684.8848057804,7391.99242149143,7316.3139379289,0.980797365142556,0.976892218830409
FRA,France,2018,2781576320884.39,41418.18,67158348.0,66.8,28.65403890483578,4.2017030805426,France,0,Europe,48.866665,2.3333333,French,,Advanced Economies,1.0,2018,10.631475,18.022564,0.068212509,0.071798325,0.0405503600467941,2349.81027371352,683.001128747955,419.969604663957,0.84079528368204,0.859985241799454,0.0216294337224277,35059.068217599,5035.64623321541,6385.32308673416,0.912899224267271,0.894695944625401,0.025109596339999,178018.974491886,37310.9743062278,41180.5110610372,0.972734246717371,0.973541628821779
PYF,French Polynesia,2018,6135116253.33,21925.62,279815.0,65.01,22.537294864127794,4.174541104216377,French Polynesia,0,Pacific,-17.533333,-149.56667,French,FRA,,1.0,2018,9.9954109,12.541884,0.051408768,0.05043602,0.0017292437099855,225.625697546962,6.02820522664323,2.12275075070164,0.996424727629195,0.998461907603714,0.0018257873711479,170.350774075744,4.47161851911048,53.3695822593383,0.986524309229799,0.966419374242648,0.0020190354630706,4802.64444172226,60.2455675122819,387.084763960267,0.992013287002498,0.988889448318594
GAB,Gabon,2018,16867326401.96,7624.28,2212318.0,77.04,23.54864423854747,4.34432476748987,Gabon,0,Africa,0.38333333,9.416667,French,FRA,Emerging and Developing Economies,0.0,2018,8.9390936,14.609551,0.096673012,0.1220417,0.0021375764081313,198.422354808675,6.38602619193675,2.767000864585,0.931972006231215,0.971099736946005,0.0022499655221965,150.877789190883,5.75414248843384,64.3265003676893,0.967510012435543,0.866887436899159,0.0022532824790612,48380.0287288624,1322.49656953667,506.062870795539,0.949607335113313,0.952460675281032
GMB,"Gambia, The",2018,1670671327.82,696.22,2399632.0,64.81,21.23649137530424,4.171459912439625,The Gambia,0,Africa,13.466666,-16.65,English,GBR,Emerging and Developing Economies,0.0,2018,6.5456657,14.690826,0.080267906,0.10449409,0.0012990906427194,5.37988166009918,1.54885793037125,1.47540192736128,0.976687859521647,0.963377192982456,0.0017256768041402,298.227911156148,4.63871244345614,27.1456354378225,0.982714413249881,0.964090027903053,0.0019069044562152,3084.97555359789,43.1123164121936,292.089980442719,0.986716665730294,0.954579093175491
GEO,Georgia,2018,17902544880.65,4804.05,3726549.0,109.85,23.608208711790976,4.699115798830619,Georgia,0,Asia,41.716667,44.816666,Georgian,RUS,Emerging and Developing Economies,0.0,2018,8.4772148,15.130993,0.083602905,0.083213806,0.0020021093799834,60.940677921512,3.24284338322099,4.70693386061964,0.983437644722747,0.987118620204153,0.0025191524455467,574.113705791892,20.2237634438803,173.192848779077,0.954000994195622,0.806761122366851,0.0023730537118459,16231.4818623529,538.235065268811,1334.97629986541,0.962399400119325,0.94226421032013
