"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"48","DMA",48,0.00201092064677386,48,935.514276749329,48,26.1182357742815,48,89.5834597559705,0.947007146690137,0.882169935202479
"49","DNK",49,0.00644291787290764,49,91262.8799314016,49,8423.42754216483,49,7608.42675307767,0.967398362406918,0.964589933859348
"50","DOM",50,0.0031633314444951,50,49382.7588719637,50,1003.13189324867,50,2070.55476063076,0.9502843485064,0.937053797197743
"51","DZA",51,0.00387991560997249,51,90924.5714039959,51,6539.17016285325,51,4461.54556503569,0.988790125726767,0.991811267747704
"52","ECU",52,0.00380194199531102,52,68989.8301000662,52,2582.63293196205,52,2535.86886726695,0.9632376283293,0.957184921422174
"53","EGY",53,0.00613274596740492,53,41814.5032797579,53,3429.54578499616,53,6210.87840703862,0.960754314420385,0.938081774863108
"54","ERI",54,0.00158548937257035,54,513.516569579315,54,11.916373983542,54,119.756049816162,0.994009467182613,0.987788054885879
"55","ESP",55,0.0184624475993867,55,116591.411998056,55,18790.283322459,55,22691.5517542271,0.955635938308986,0.960830591744202
"56","EST",56,0.00265867326198346,56,28360.6740294104,56,1459.92154551898,56,1738.36966319617,0.962720386948038,0.953196238201336
"57","ETH",57,0.00231546466970635,57,10642.0727395799,57,339.182303514237,57,1140.35400147871,0.980565468545828,0.977785204241439
"58","FIN",58,0.00471598227072872,58,69758.8512728298,58,6574.15912529441,58,6768.53452352455,0.967617987170165,0.967094366045348
"59","FJI",59,0.00202549308997045,59,10165.3662815265,59,203.038533472851,59,334.123192831389,0.95166892762095,0.909450237773132
"60","FRA",60,0.0295324229920515,60,151591.705019317,60,33988.6830326937,60,37597.5298989348,0.962206174803448,0.963266367462589
"61","FSM",61,0.00153927380197182,61,1956.56380976949,61,27.7550743946232,61,40.255579619281,0.981643169111958,0.970353308376551
"62","GAB",62,0.00216308110341566,62,50922.608288601,62,1287.63442320471,62,554.861323403915,0.977096903398366,0.979695634756516
"63","GBR",63,0.0275362551374293,63,142432.635339852,63,27499.9851607963,63,37260.4689490832,0.966255359037227,0.966434454969129
"64","GEO",64,0.0023181266550431,64,11491.1146223562,64,473.926572290014,64,878.107722407844,0.950115608711729,0.941121708573731
