iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
UKR,BHS,0,0,0,0,9056.832,9.111274669014437
UKR,BIH,0,0,0,0,1166.276,7.061571045589366
UKR,BLR,1,0,0,1,433.5281,6.0719566153423985
UKR,BLZ,0,0,0,0,10462.06,9.255510658955211
UKR,BMU,0,0,0,0,7654.312,8.943024428154597
UKR,BOL,0,0,0,0,12033.3,9.395433085565923
UKR,BRA,0,0,0,0,11155.24,9.319664621650876
UKR,BRB,0,0,0,0,8905.438,9.094417380364824
UKR,BRN,0,0,0,0,9201.697,9.127143202548858
UKR,BTN,0,0,0,0,5545.155,8.620679852504697
UKR,BWA,0,0,0,0,8378.193,9.033387537765874
UKR,CAF,0,0,0,0,5243.037,8.56465618957605
UKR,CAN,0,0,0,0,7564.316,8.931197205743372
UKR,CCK,0,0,0,0,9487.612,9.157742226640794
UKR,CHE,0,0,0,0,1730.779,7.4563268751594896
UKR,CHL,0,0,0,0,13566.19,9.515335947010188
UKR,CHN,0,0,0,0,6460.799,8.773508273338912
