"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"60","FRA",60,0.0307675256114903,60,27428.6439404288,60,5646.71781667404,60,6556.62599518409,0.879474063690273,0.846519042456857
"61","FSM",61,0.00138446667589258,61,24.2024408927927,61,1.98551778916828,61,13.2786740889076,0.99441735736272,0.903662717042999
"62","GAB",62,0.00234656933778057,62,158.661299879092,62,6.11392479420606,62,73.8706270102173,0.976543555970813,0.853581218280154
"63","GBR",63,0.0300345354350787,63,25892.5736416565,63,4902.98563289938,63,7046.11231486058,0.895521468248507,0.867134660337628
"64","GEO",64,0.00294483415696927,64,497.470423357659,64,18.1165975440944,64,159.787049791882,0.949541045724342,0.807865884484852
"65","GHA",65,0.00381093093259281,65,593.080497793355,65,12.5799851479535,65,240.460555498921,0.953465919774791,0.858130586082753
"66","GIN",66,0.00241674872309066,66,747.383623181785,66,8.91000436502314,66,73.922326769332,0.964756721509515,0.929731433103858
"67","GMB",67,0.00181053131933573,67,76.9798327366817,67,3.36208240648718,67,23.0412480937272,0.971839875916575,0.845653155848618
"68","GNB",68,0.00167329625649784,68,6.51381634214281,68,1.67824436156504,68,10.1233095115928,0.955346206090201,0.82202842377261
"69","GNQ",69,0.00190597278628488,69,109.881198244198,69,4.4388736662407,69,62.3553483129051,0.982399490987657,0.929286616537376
"70","GRC",70,0.00473949340475063,70,6762.00520530188,70,319.106299847002,70,1076.53286966398,0.946425247224738,0.869002351489469
"71","GRD",71,0.00178166920770788,71,72.6574317169754,71,2.87289999964671,71,16.0297696838424,0.964245240519576,0.942690684369411
"72","GRL",72,0.00158301345672185,72,103.19962991911,72,2.96439952679526,72,37.5097866668853,0.978207726802827,1
"73","GTM",73,0.00263673913158292,73,1096.91438253927,73,33.751800703787,73,274.390040032279,0.966357676774515,0.835274350678049
"74","GUY",74,0.00224837983616541,74,89.4994514402214,74,3.58153824301417,74,38.7746996699071,0.964222199995487,0.907162941266309
"75","HKG",75,0.0164471616623389,75,39616.0998049959,75,5269.76132849807,75,8648.17291025122,0.924007020708915,0.892315209035571
"76","HND",76,0.00217582895193261,76,7977.34264135615,76,110.092030282718,76,161.052454366273,0.989632390073631,0.992622572323804
"77","HRV",77,0.00331813487792355,77,7873.37359135288,77,319.136956485417,77,482.476539668826,0.923700175613396,0.898307407672015
"78","HTI",78,0.00172759012494123,78,434.993590416655,78,6.72272579429401,78,47.8043157646654,0.993065246650468,0.971973775722116
"79","HUN",79,0.00824107133959259,79,25685.8861416757,79,3670.44140254972,79,2979.61978815715,0.936670335402883,0.910010333329522
"80","IDN",80,0.00518428311911766,80,19554.0357162484,80,1752.62068803596,80,2269.15078933689,0.922695127156637,0.895004136527048
"81","IND",81,0.0116151105886812,81,15553.3290224831,81,1461.93724398339,81,3149.74020642688,0.905556623371424,0.824395861848043
"82","IRL",82,0.00571736701204922,82,17567.4479513973,82,2046.04441156933,82,1428.07871141706,0.942141784528822,0.924254921666791
"83","IRN",83,0.00612319048216621,83,1689.16384860103,83,41.9425313255463,83,853.330669065567,0.971488383959697,0.826402730619918
"84","IRQ",84,0.00644300716121511,84,556.673105283873,84,9.01050565890659,84,627.507819355294,0.976041601516815,0.984081568884273
"85","ISL",85,0.00214103153751825,85,836.982455066058,85,20.8323308029757,85,185.120928806226,0.978024049707166,0.944748816849526
"86","ISR",86,0.00433442360715277,86,16774.9338211599,86,1170.2284073288,86,982.194851711084,0.919270540899867,0.882734615182059
"87","ITA",87,0.0169616226355557,87,25489.416671817,87,4392.92090379165,87,4743.38401648685,0.903894958506194,0.865459558404847
"88","JAM",88,0.00234710313421605,88,317.542950081394,88,9.25613483800017,88,159.636391374882,0.978387563361618,0.872187203625263
"89","JOR",89,0.00284334995755902,89,2840.70356013423,89,116.795809601727,89,302.653005655315,0.920685811271827,0.71563659712144
"90","JPN",90,0.0143407805938946,90,48659.0635054849,90,13850.0084833838,90,7326.82412521179,0.92582809987398,0.910542006824036
"91","KAZ",91,0.00593259319543318,91,3020.97869029564,91,50.3803292864741,91,608.580770823577,0.946831155997168,0.911501442062512
"92","KEN",92,0.00401234755302628,92,971.710753668717,92,49.9394438223518,92,259.101409987286,0.922719185514812,0.687389216589343
"93","KGZ",93,0.0020482035816632,93,720.088957537472,93,16.8922175248929,93,74.9528392481452,0.960695668842237,0.852464175853258
"94","KHM",94,0.00199552015795129,94,1726.72518791768,94,15.7568849836505,94,131.265757944752,0.961370718299916,0.95125297534305
"95","KIR",95,0.00136044988671205,95,47.0527715741668,95,2.23653356035792,95,4.31529820631784,0.960010346385641,0.955292089513401
"96","KNA",96,0.00178315274211088,96,2990.71544982412,96,28.5230894519589,96,21.547108200139,0.979304918306703,0.995618607709237
"97","KOR",97,0.0124639440584787,97,46578.1567678977,97,10839.8128505351,97,6207.55833830958,0.914748410632172,0.899276831673502
"98","KWT",98,0.00517778022212181,98,3713.60256792246,98,94.2266418849732,98,494.007687719746,0.923514651254409,0.829865497398815
"99","LAO",99,0.00150317831571813,99,1195.90889358631,99,11.3818773169019,99,75.8401412473722,0.998700474714229,0.995269465195115
"100","LBN",100,0.00259632862042224,100,2551.91692706977,100,143.62937869727,100,220.760413855733,0.869078597847409,0.681745302559081
"101","LBR",101,0.00431153550163776,101,333.340281161398,101,5.30654395444316,101,36.068130450255,0.961314232520358,0.940371499794283
