iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,NAM,0,0,1,0,0,0,0,0,10267.962,10267.962,10238.19805,10235.29073
ABW,NCL,0,0,0,0,0,0,0,0,13964.526,13964.526,13994.36711,13993.97117
ABW,NER,0,0,0,0,0,0,0,0,7796.3892,7796.3892,8090.482295,8078.542768
ABW,NFK,0,0,1,0,0,0,0,0,13783.122,13783.122,13783.7818,13783.78078
ABW,NGA,0,0,1,0,0,0,0,0,8081.917,8425.3223,8276.090847,8269.742228
ABW,NIC,0,1,0,0,0,0,0,0,1761.9291,1761.9291,1764.174891,1761.101345
ABW,NIU,0,0,1,0,0,0,0,0,11484.714,11484.714,11492.94325,11492.9402
ABW,NLD,0,1,1,1,0,1,1,0,7896.8965,7896.8965,7908.407444,7908.110379
ABW,NOR,0,0,0,0,0,0,0,0,8301.125,8301.125,8240.808438,8238.264907
ABW,NPL,0,0,0,0,0,0,0,0,14828.1,14828.1,14806.04562,14804.42698
ABW,NRU,0,0,1,0,0,0,0,0,13604.612,13604.612,13620.22922,13620.2245
ABW,NZL,0,0,1,0,0,0,0,0,12981.523,12981.523,13079.86588,13079.1111
ABW,OMN,0,0,0,0,0,0,0,0,13155.516,13155.516,13071.64101,13071.03203
ABW,PAK,0,0,1,0,0,0,0,0,13581.605,13581.605,13748.6644,13747.84765
ABW,PAL,0,0,0,0,0,0,0,0,10625.237,10625.237,10642.14492,10642.05683
ABW,PAN,0,1,0,0,0,0,0,0,1102.9749,1102.9749,1182.385733,1171.276146
ABW,PCN,0,0,1,0,0,0,0,0,7735.0132,7735.0132,,
ABW,PER,0,1,0,0,0,0,0,0,2848.8611,2848.8611,2758.857643,2724.568821
ABW,PHL,0,0,1,0,0,0,0,0,16773.428,16773.428,16868.51916,16866.91471
ABW,PLW,0,0,1,0,0,0,0,0,16527.85,16527.85,16541.40536,16541.35099
ABW,PNG,0,0,1,0,0,0,0,0,15957.224,15957.224,15932.05114,15927.28595
ABW,POL,0,0,0,0,0,0,0,0,8990.0234,8990.0234,8884.096646,8882.14776
ABW,PRI,0,1,1,0,0,0,0,0,781.56958,781.56958,764.2043051,763.2674469
ABW,PRK,0,0,0,0,0,0,0,0,14063.867,14063.867,13996.79206,13995.24713
ABW,PRT,0,0,0,0,0,0,0,0,6637.4243,6637.4243,6626.685056,6621.537089
ABW,PRY,0,1,0,0,0,0,0,0,4418.0757,4418.0757,4436.560162,4435.109331
ABW,PYF,0,0,0,0,0,0,0,0,9348.1074,9348.1074,9363.776092,9363.463248
ABW,QAT,0,0,0,0,0,0,0,0,12436.231,12436.231,12418.48877,12418.47491
ABW,REU,0,0,0,0,0,0,0,0,14183.826,14183.826,14168.52001,14168.50138
ABW,ROM,0,0,0,0,0,0,0,0,9528.1191,9528.1191,9448.061215,9445.321494
ABW,RUS,0,0,0,0,0,0,0,0,9942.4746,9942.4746,10523.26535,10451.28228
ABW,RWA,0,0,1,0,0,0,0,0,11168.009,11168.009,11138.65365,11138.53111
ABW,SAU,0,0,0,0,0,0,0,0,12028.872,12028.872,11731.10983,11720.16891
ABW,SDN,0,0,0,0,0,0,0,0,10960.457,10960.457,10934.82221,10927.76706
ABW,SEN,0,0,0,0,0,0,0,0,5688.1304,5688.1304,5733.223384,5731.908387
ABW,SGP,0,0,1,0,0,0,0,0,18355.379,18355.379,18355.23261,18355.23115
ABW,SHN,0,0,1,0,0,0,0,0,7763.8979,7763.8979,7507.777003,7463.466464
