iso_o,iso_d,contig,comlang_off,colony,comcol,dist,iso2,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,VCT,0,0,0,0,964.70435,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VEN,0,1,0,0,408.80646,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VGB,0,0,0,0,881.28821,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VNM,0,0,0,0,16271.962,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VUT,0,0,0,0,13756.357,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,WLF,0,0,0,0,12049.833,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,WSM,0,0,0,0,13348.891,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,YEM,0,0,0,0,12161.901,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,YUG,0,0,0,0,9082.8584,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZAF,0,0,0,0,10662.36,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZAR,0,0,0,0,9622.7695,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZMB,0,0,0,0,11267.376,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZWE,0,0,0,0,11603.469,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
AFG,ABW,0,0,0,0,13257.814,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AGO,0,0,0,0,7607.7998,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AIA,0,0,0,0,12292.158,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ALB,0,0,0,0,4342.1167,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AND,0,0,0,0,5806.3589,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ANT,0,0,0,0,13218.259,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARE,0,0,0,0,1813.6145,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARG,0,0,0,0,15298.504,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARM,0,0,0,0,2266.1501,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ATG,0,0,0,0,12297.092,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AUS,0,0,0,0,11433.487,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
